month,num_trips
1,156.5241935483871
2,166.0576131687243
3,249.53667953667954
4,265.99283154121866
5,422.9347826086956
6,388.086642599278
7,420.8060836501901
9,327.54716981132077
10,312.8085106382979
11,239.54310344827587
12,152.3360655737705
