real_station_id,mapped_id
171,1
183,2
189,3
225,4
246,5
247,6
248,7
249,8
250,9
251,10
252,11
253,12
254,13
255,14
256,15
257,16
258,17
259,18
260,19
261,20
262,21
264,22
265,23
273,24
275,25
277,26
284,27
285,28
289,29
290,30
296,31
297,32
340,33
341,34
342,35
343,36
344,37
345,38
346,39
347,40
349,41
350,42
351,43
352,44
353,45
354,46
355,47
356,48
357,49
358,50
359,51
365,52
366,53
